id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
6295,B,114.53,material_5,material_5,8,8,7,4,10,18.366,13.719,15.803,18.009,11.061,19.136,10.069,14.533,21.087,11.777,17.069,16.047,16.017,,659.31,
15669,C,143.33,material_7,material_8,5,8,9,6,4,19.013,11.341,19.157,17.557,11.711,20.462,12.208,,18.053,12.259,16.434,15.661,13.472,16.845,967.158,
26207,E,117.61,material_7,material_6,6,9,2,9,10,19.287,11.262,17.347,18.621,11.853,18.466,10.808,16.953,19.107,13.611,14.527,16.633,14.262,14.139,720.791,
17751,D,206.3,material_7,material_5,6,6,11,15,6,18.91,11.383,19.428,17.95,13.231,19.709,11.486,16.891,21.341,10.408,15.906,15.45,17.09,14.981,1028.396,0.0
19963,D,182.29,material_7,material_5,6,6,7,17,6,18.355,10.173,18.236,17.188,12.262,17.175,10.169,14.875,19.632,11.953,14.002,15.399,17.575,13.482,,1.0
9538,B,119.57,material_5,material_5,8,8,6,15,8,17.853,11.787,17.812,16.742,,18.983,12.503,16.661,21.244,13.111,16.94,17.057,,17.175,695.084,
18432,D,80.15,material_7,material_5,6,6,12,6,8,18.109,11.964,15.488,17.015,12.7,17.551,13.125,14.626,16.562,9.219,,15.473,14.274,15.015,520.954,
9165,B,146.2,material_5,material_5,8,8,7,3,7,17.373,12.635,15.898,14.601,10.947,19.994,11.923,17.253,20.144,11.823,16.288,16.651,16.291,19.113,634.643,
15956,C,103.4,material_7,material_8,5,8,12,4,1,17.412,12.136,16.669,17.172,12.793,18.341,11.149,16.762,16.867,,16.164,17.48,14.61,14.989,646.943,0.0
3083,A,221.44,material_7,material_8,9,5,9,4,5,18.559,12.162,14.877,17.614,10.952,18.475,10.628,15.85,19.954,10.857,16.15,13.999,14.506,19.069,513.999,
3198,A,,material_7,material_8,9,5,16,0,6,19.031,11.873,15.541,17.936,11.214,18.741,11.698,15.681,18.708,10.179,13.787,13.963,14.484,17.251,585.07,
20903,D,90.55,material_7,material_5,6,6,8,7,11,17.494,12.293,18.166,18.519,12.131,20.818,9.572,16.667,18.978,9.872,,16.873,13.379,19.148,,0.0
1002,A,118.77,material_7,material_8,9,5,7,4,6,16.918,11.793,18.047,16.668,10.208,19.243,11.478,16.666,18.959,14.235,,16.002,14.128,,712.069,
4862,A,126.18,material_7,material_8,9,5,15,5,2,16.513,12.133,16.247,18.297,12.661,20.432,11.345,16.163,20.383,12.412,14.706,17.082,15.353,18.389,807.316,
2137,A,172.93,material_7,material_8,9,5,6,0,4,18.076,11.373,16.926,16.666,11.257,19.477,10.132,15.926,19.393,11.854,15.571,15.504,14.588,16.062,,
14063,C,92.31,material_7,material_8,5,8,9,6,5,18.067,12.961,18.008,16.627,12.328,19.425,10.867,,20.731,9.954,14.518,13.087,15.619,16.568,782.319,
9261,B,77.23,material_5,material_5,8,8,6,0,7,16.45,11.8,17.545,19.729,12.799,18.455,11.338,13.945,21.11,13.153,16.434,16.309,16.567,16.025,786.482,0.0
17574,D,94.67,material_7,material_5,6,6,16,17,8,18.482,11.865,17.395,17.669,11.248,18.824,10.78,17.123,,10.783,15.818,17.47,15.412,17.108,715.173,0.0
24876,E,146.68,material_7,material_6,6,9,9,9,2,18.443,12.827,19.203,18.007,11.999,19.678,10.666,17.701,22.75,15.349,15.259,12.907,15.819,15.198,974.268,
7071,B,205.68,material_5,material_5,8,8,6,3,3,20.097,10.196,19.622,17.07,9.791,18.948,10.611,15.865,19.429,11.837,16.82,,15.612,18.134,572.168,
20641,D,118.36,material_7,material_5,6,6,5,12,2,17.35,12.126,17.318,19.641,12.63,,10.337,16.772,18.669,10.134,14.288,18.038,15.959,17.971,1023.052,
21849,E,87.16,material_7,material_6,6,9,11,11,2,18.65,11.026,17.796,16.999,12.65,20.432,12.188,15.759,19.864,,17.245,16.85,14.809,15.74,783.238,
12242,C,105.37,material_7,material_8,5,8,6,8,4,17.223,12.444,18.051,18.529,10.312,18.867,,14.489,20.499,12.587,15.328,15.119,15.12,15.397,666.269,
10075,B,113.19,material_5,material_5,8,8,8,11,8,18.96,11.833,18.411,19.237,11.533,21.118,,,18.791,11.042,14.597,14.848,14.677,16.014,771.815,
15940,C,101.76,material_7,material_8,5,8,6,4,5,18.444,11.698,14.819,17.641,12.484,20.395,11.136,15.864,,13.665,16.422,16.133,18.384,20.198,726.212,0.0
724,A,117.35,material_7,material_8,9,5,16,4,3,18.006,12.153,17.582,17.161,10.829,17.868,12.026,15.185,20.633,10.904,16.941,16.479,14.539,,612.859,
21296,E,113.34,material_7,material_6,6,9,5,11,3,16.279,11.327,17.775,16.668,12.235,17.09,10.754,17.954,20.984,13.951,15.186,,14.709,15.411,500.375,
4001,A,123.86,material_7,material_8,9,5,12,0,5,17.951,12.678,17.684,17.727,11.262,19.235,11.685,15.291,22.08,10.956,15.762,18.655,13.696,15.815,758.698,0.0
14618,C,81.67,material_7,material_8,5,8,0,4,3,18.705,12.72,17.558,17.808,10.293,20.163,,18.724,18.474,9.574,13.752,15.625,15.328,13.884,786.973,
1996,A,156.2,material_7,material_8,9,5,5,1,7,19.158,13.542,16.825,17.892,11.325,20.759,12.042,17.726,,11.612,15.417,18.187,15.717,,843.43,
3944,A,159.19,material_7,material_8,9,5,6,6,9,19.11,12.292,17.664,19.24,12.298,20.172,10.806,16.574,20.311,11.908,14.038,15.755,17.152,17.888,889.734,
710,A,81.11,material_7,material_8,9,5,5,4,7,18.574,12.152,15.661,17.786,10.947,19.844,12.428,,19.588,10.574,15.844,17.569,14.764,15.073,670.014,
10647,C,104.38,material_7,material_8,5,8,14,6,4,16.931,11.714,16.772,16.823,10.045,19.956,11.563,16.527,18.455,10.838,15.19,17.46,17.678,14.693,697.445,
5131,B,137.7,material_5,material_5,8,8,12,10,4,17.673,12.434,16.641,17.856,10.599,17.826,12.313,16.232,15.445,11.214,16.661,16.257,11.938,,639.087,
26431,E,134.42,material_7,material_6,6,9,5,15,8,16.691,11.65,,17.925,11.953,18.0,13.397,17.221,16.819,8.3,15.976,16.236,15.062,11.914,,
25877,E,95.94,material_7,material_6,6,9,5,10,4,17.999,10.973,18.973,18.463,12.462,18.732,10.957,15.108,18.314,9.449,,18.603,14.627,,821.912,
19086,D,80.62,material_7,material_5,6,6,10,10,6,18.733,10.805,18.297,18.106,12.216,18.607,10.69,16.439,18.312,14.443,15.357,15.984,12.804,17.502,854.675,
21181,D,149.85,material_7,material_5,6,6,6,13,6,17.237,12.74,15.653,19.205,13.536,19.154,12.36,15.806,20.025,12.408,14.208,12.918,,19.276,847.103,
1187,A,176.95,material_7,material_8,9,5,16,7,2,18.614,9.035,16.699,17.405,11.643,18.625,12.162,16.499,17.083,,15.0,15.07,,14.603,599.176,0.0
4137,A,121.41,material_7,material_8,9,5,11,6,10,16.743,10.467,16.872,17.855,,21.191,12.116,15.105,19.303,13.598,14.689,16.637,12.845,15.181,811.728,0.0
5867,B,88.78,material_5,material_5,8,8,7,9,7,18.513,12.796,17.359,17.758,12.88,18.958,11.838,18.381,19.08,10.72,,,17.163,19.029,881.936,1.0
26301,E,113.73,material_7,material_6,6,9,5,13,6,19.335,11.913,15.428,17.899,11.968,18.258,11.307,,19.959,12.236,16.019,14.821,16.263,16.553,570.523,0.0
21208,D,79.96,material_7,material_5,6,6,7,9,10,18.332,10.291,17.76,16.605,10.351,18.089,11.193,18.477,,9.209,15.126,15.076,13.358,,550.897,
7905,B,103.48,material_5,material_5,8,8,7,10,14,16.838,12.505,16.39,18.25,11.289,18.655,,15.867,21.94,13.748,15.918,13.733,,18.491,,
22221,E,108.19,material_7,material_6,6,9,5,9,13,17.389,12.482,17.667,18.365,11.827,19.437,11.005,16.611,19.979,11.282,,14.465,14.743,15.215,868.702,1.0
3956,A,120.3,material_7,material_8,9,5,5,1,3,15.521,11.243,16.26,18.953,10.917,20.669,11.664,15.329,20.881,11.895,14.614,14.771,16.143,16.171,786.827,
11739,C,126.68,material_7,material_8,5,8,14,7,3,17.839,13.423,14.936,17.089,12.218,19.854,8.798,16.851,19.242,,15.77,15.878,16.775,17.986,583.85,0.0
21653,E,124.37,material_7,material_6,6,9,5,8,8,17.74,11.063,18.742,18.5,11.638,19.694,10.499,16.596,21.185,,,,15.235,14.248,,
16429,D,130.5,material_7,material_5,6,6,11,7,2,19.635,12.793,18.704,18.399,11.094,19.414,12.462,17.315,18.2,8.326,,15.669,16.186,16.026,,
10044,B,76.55,material_5,material_5,8,8,3,9,7,17.85,11.037,17.011,18.199,12.407,20.436,10.413,16.564,17.938,12.587,16.821,16.984,17.728,,700.964,
12751,C,100.73,material_7,material_8,5,8,5,5,0,20.504,11.609,17.353,18.276,12.854,18.534,12.356,15.81,19.282,10.285,,16.481,,19.153,754.786,
20438,D,153.2,material_7,material_5,6,6,8,12,1,17.045,11.59,18.088,16.332,12.198,18.162,,17.684,19.839,13.972,15.929,13.929,14.95,15.883,607.166,
26539,E,153.85,material_7,material_6,6,9,4,8,9,16.827,12.264,17.135,17.458,10.549,20.032,11.003,14.824,20.995,11.832,15.779,13.84,16.465,16.953,794.614,0.0
19325,D,122.19,material_7,material_5,6,6,5,12,9,16.832,11.568,15.852,16.149,11.568,17.822,10.282,16.719,19.709,14.089,,15.243,12.841,,391.643,
26094,E,93.45,material_7,material_6,6,9,4,8,7,18.547,12.51,14.908,17.26,11.32,19.055,12.521,17.685,21.548,11.219,16.176,17.144,15.242,13.475,603.473,
12940,C,151.67,material_7,material_8,5,8,7,2,2,18.676,13.386,16.579,17.155,10.378,18.78,10.196,16.127,17.916,9.989,15.699,17.244,14.452,14.548,546.523,
24315,E,94.48,material_7,material_6,6,9,10,5,8,19.031,12.58,17.564,18.773,11.253,18.849,12.439,15.212,18.501,,17.072,17.408,13.834,,,
5670,B,78.02,material_5,material_5,8,8,3,7,5,19.623,11.07,16.562,19.007,11.982,19.717,,15.205,18.729,12.788,19.035,16.251,,20.204,682.019,
20522,D,160.34,material_7,material_5,6,6,13,8,12,18.758,9.83,16.571,,12.631,17.94,12.433,18.384,19.12,12.327,14.917,,14.687,14.699,,
22987,E,103.62,material_7,material_6,6,9,10,8,5,16.818,13.039,16.157,16.817,12.817,18.496,12.394,14.626,18.099,11.515,14.535,16.244,15.619,15.719,640.682,0.0
9493,B,149.56,material_5,material_5,8,8,12,6,5,18.887,11.008,18.142,17.182,,16.76,12.017,15.446,18.632,13.027,14.904,15.2,14.584,16.71,709.652,
25366,E,128.28,material_7,material_6,6,9,6,10,7,18.154,12.576,16.732,17.123,11.501,17.382,11.171,13.576,,11.39,16.088,15.672,15.605,,569.764,
2820,A,120.63,material_7,material_8,9,5,8,7,6,17.108,10.932,17.805,15.599,11.707,18.859,12.37,15.457,19.416,11.517,15.878,19.215,11.951,15.667,665.495,
9974,B,91.8,material_5,material_5,8,8,5,4,9,17.898,11.858,15.649,16.888,13.297,,10.748,14.859,23.08,12.255,14.434,15.328,12.578,17.315,,0.0
16282,D,97.94,material_7,material_5,6,6,8,6,5,18.328,9.737,16.29,15.231,11.855,18.973,11.524,16.664,19.009,13.975,14.964,17.051,13.682,17.859,450.39,
3163,A,100.67,material_7,material_8,9,5,0,7,16,18.024,12.225,17.571,19.992,12.266,20.411,12.238,15.689,18.443,13.477,14.131,16.848,14.403,17.515,920.719,
22704,E,181.06,material_7,material_6,6,9,2,15,6,17.403,10.56,17.867,15.763,10.799,20.381,12.848,15.35,19.403,10.871,18.678,,14.207,15.326,673.966,
10499,C,103.48,material_7,material_8,5,8,5,11,8,18.065,10.731,,16.657,12.608,21.007,10.695,17.317,17.727,12.986,16.232,14.765,12.351,15.496,916.141,
17952,D,104.23,material_7,material_5,6,6,5,14,3,18.926,11.327,17.024,16.629,12.959,20.362,9.961,15.804,18.845,11.271,17.228,15.2,13.846,17.665,775.629,
891,A,65.9,material_7,material_8,9,5,17,3,4,17.377,,15.448,15.806,10.596,18.314,11.373,16.325,17.881,12.569,,14.99,15.915,17.005,471.369,
21579,E,170.37,material_7,material_6,6,9,4,5,9,17.215,13.268,16.171,19.189,10.604,18.781,11.23,16.944,,12.371,16.347,15.415,,18.928,834.59,
20326,D,59.53,material_7,material_5,6,6,8,11,5,18.091,12.983,16.37,17.052,12.349,19.404,12.296,16.029,20.797,12.937,16.715,18.043,13.841,16.51,670.118,0.0
5601,B,180.35,material_5,material_5,8,8,2,7,3,17.801,11.033,15.799,18.542,11.299,19.556,10.737,14.424,19.687,11.319,15.044,16.209,16.14,,567.83,
72,A,152.09,material_7,material_8,9,5,19,5,2,16.772,10.267,17.527,16.924,,17.361,10.104,15.674,20.985,12.226,17.838,14.615,15.915,18.154,509.304,
10378,C,77.09,material_7,material_8,5,8,4,6,4,17.113,11.546,17.358,17.844,10.22,21.213,11.167,,18.491,11.046,16.26,15.617,14.811,18.81,843.605,
21795,E,121.63,material_7,material_6,6,9,5,11,2,17.336,11.737,17.361,17.733,11.396,19.507,12.122,16.439,19.872,10.921,16.612,13.463,14.71,,782.683,
2871,A,140.16,material_7,material_8,9,5,4,7,6,18.041,13.357,15.989,16.544,12.751,19.772,12.315,15.927,21.493,9.74,15.152,17.938,14.565,14.686,,
13797,C,98.31,material_7,material_8,5,8,9,15,8,17.623,11.825,19.494,18.164,11.667,17.717,14.166,14.268,19.164,11.213,16.561,16.7,,19.646,,
6266,B,140.07,material_5,material_5,8,8,2,7,8,16.082,12.824,16.188,16.938,12.762,19.276,,14.408,21.059,12.077,14.526,15.317,14.852,15.848,734.733,
4744,A,127.22,material_7,material_8,9,5,6,4,5,16.179,11.122,17.017,16.981,11.536,19.823,11.221,,19.561,10.518,15.05,17.362,14.583,15.108,727.963,
17065,D,112.24,material_7,material_5,6,6,4,10,6,19.151,10.743,17.639,17.85,9.276,19.15,12.306,17.092,17.62,12.653,15.601,17.085,14.926,17.844,687.703,
10453,C,141.18,material_7,material_8,5,8,7,16,2,18.165,11.035,18.73,17.497,12.243,18.664,11.142,16.376,21.628,10.066,14.481,16.481,11.955,14.418,763.486,
10067,B,177.42,material_5,material_5,8,8,6,5,9,19.214,12.471,17.133,17.563,12.736,19.286,11.666,18.506,20.699,13.509,,14.809,16.331,15.65,856.163,
3332,A,115.83,material_7,material_8,9,5,12,6,6,16.792,10.889,,17.356,12.686,17.258,11.388,14.484,20.64,14.757,16.26,14.144,11.173,14.011,651.594,1.0
25973,E,96.65,material_7,material_6,6,9,6,10,4,16.252,12.437,16.404,18.806,11.485,18.082,10.051,16.21,19.946,12.969,,14.508,14.825,16.729,697.178,
16964,D,143.46,material_7,material_5,6,6,3,7,5,15.978,12.622,18.403,16.918,12.154,18.77,9.887,19.401,18.189,13.374,16.396,17.321,,17.742,687.59,
10354,C,211.52,material_7,material_8,5,8,7,6,5,17.48,10.137,18.145,18.227,,19.608,11.295,17.59,18.592,11.684,15.717,17.5,16.392,,782.793,1.0
16132,D,88.14,material_7,material_5,6,6,4,6,4,17.103,12.008,15.795,18.97,12.664,20.298,10.433,19.147,18.607,,15.041,16.656,15.965,16.455,854.214,
12113,C,131.64,material_7,material_8,5,8,5,6,4,18.332,10.194,,19.363,11.065,18.68,11.226,16.656,17.775,11.322,15.512,14.627,16.197,,514.901,
25371,E,155.82,material_7,material_6,6,9,4,8,6,,11.805,18.269,17.049,12.121,18.744,9.083,14.022,,11.895,14.498,16.776,,16.215,,
104,A,99.36,material_7,material_8,9,5,17,5,5,18.461,11.037,18.155,15.862,,19.112,12.527,17.775,20.884,14.691,15.728,14.173,13.456,16.617,724.297,
18360,D,113.42,material_7,material_5,6,6,7,7,5,17.76,12.241,15.865,16.825,,19.569,12.361,15.186,17.134,12.303,14.918,15.634,13.744,16.513,592.17,
14469,C,123.68,material_7,material_8,5,8,3,10,10,19.086,12.429,18.113,19.908,12.157,20.973,11.005,16.812,21.175,14.216,18.064,13.314,14.978,17.157,950.69,
5515,B,141.61,material_5,material_5,8,8,9,4,7,17.034,10.406,19.266,16.497,11.171,18.288,11.464,13.485,,11.301,15.695,15.575,15.83,14.95,656.042,
8053,B,90.27,material_5,material_5,8,8,2,3,15,15.893,12.783,16.265,18.706,12.848,19.696,9.485,14.732,18.858,12.184,16.655,,11.67,,728.947,
21522,E,293.2,material_7,material_6,6,9,5,11,2,19.024,12.911,17.489,16.674,11.457,17.367,10.526,14.907,20.876,,,15.538,14.215,15.446,590.994,0.0
24827,E,73.95,material_7,material_6,6,9,7,8,1,16.152,11.13,16.512,16.244,11.839,18.896,11.43,15.8,19.631,11.982,16.828,17.894,15.738,13.215,517.938,
2488,A,126.81,material_7,material_8,9,5,9,2,6,16.476,10.54,17.565,18.687,12.53,20.165,13.08,16.511,19.997,13.187,16.495,16.092,13.617,14.125,848.151,
10296,B,102.01,material_5,material_5,8,8,3,10,7,17.363,10.806,17.944,17.861,11.553,19.367,13.08,16.937,16.669,11.069,16.495,15.934,16.942,,709.835,0.0
26535,E,117.99,material_7,material_6,6,9,6,10,6,18.033,8.35,16.288,17.335,12.221,20.116,10.911,13.13,17.582,13.77,17.293,16.962,15.802,15.831,502.84,
11272,C,104.99,material_7,material_8,5,8,1,16,1,18.63,12.416,15.72,19.526,11.196,20.299,13.398,17.231,17.104,9.587,13.812,11.89,13.881,20.02,807.688,
10177,B,123.92,material_5,material_5,8,8,7,9,11,18.79,10.98,15.309,18.295,11.774,16.55,11.962,17.953,21.49,10.888,15.72,15.229,17.681,15.422,641.735,
4030,A,54.07,material_7,material_8,9,5,17,2,2,18.538,12.127,15.621,16.964,12.62,18.394,12.66,15.855,18.409,13.681,16.64,18.066,12.303,16.352,574.678,
4034,A,118.81,material_7,material_8,9,5,8,7,8,20.136,11.271,17.574,17.535,11.57,17.919,11.361,17.93,18.86,9.943,15.938,15.698,16.451,,631.768,
19579,D,134.7,material_7,material_5,6,6,6,7,3,17.191,11.714,16.313,17.457,14.532,20.623,10.629,16.461,,11.878,14.784,13.578,16.002,17.281,855.825,
17891,D,53.4,material_7,material_5,6,6,9,10,13,17.143,13.237,17.023,16.009,11.605,20.401,12.333,17.214,19.329,,16.197,12.956,15.619,19.583,610.858,0.0
10473,C,134.67,material_7,material_8,5,8,10,7,2,17.22,9.97,17.16,16.643,9.463,17.399,11.611,16.24,20.195,11.173,14.955,13.71,15.535,17.163,459.768,
2842,A,116.21,material_7,material_8,9,5,14,3,1,18.359,11.595,16.68,17.178,12.061,18.855,10.763,16.112,18.752,13.36,16.03,14.212,13.204,15.803,658.966,
11544,C,122.89,material_7,material_8,5,8,11,10,15,16.148,12.837,17.989,16.655,10.789,17.961,12.515,14.663,17.047,11.906,14.218,17.407,15.554,16.046,642.888,
9396,B,134.76,material_5,material_5,8,8,11,8,5,17.467,11.939,17.563,15.611,10.493,17.804,11.574,,19.113,11.108,,16.351,14.991,19.341,615.225,
20757,D,67.01,material_7,material_5,6,6,4,11,10,17.586,11.284,17.651,18.264,12.143,17.372,9.839,17.141,18.74,13.57,14.84,17.702,13.499,17.379,725.481,
11536,C,103.29,material_7,material_8,5,8,2,6,1,16.535,11.868,17.941,18.693,12.271,19.18,11.784,14.082,20.376,14.041,14.469,13.373,14.447,16.498,802.458,0.0
18584,D,101.64,material_7,material_5,6,6,6,8,7,17.548,13.731,18.693,17.956,10.788,21.609,11.393,12.471,18.496,12.632,14.878,13.335,16.838,14.773,939.763,1.0
17261,D,123.93,material_7,material_5,6,6,5,14,5,18.034,12.361,17.186,19.296,12.085,19.218,11.748,14.885,20.015,14.027,15.003,,12.614,19.488,,1.0
25443,E,99.73,material_7,material_6,6,9,2,4,7,17.912,12.26,17.996,18.548,10.54,17.031,11.652,14.293,17.505,11.518,14.428,17.883,15.066,,728.677,
10496,C,140.25,material_7,material_8,5,8,10,6,0,16.971,13.007,18.239,16.728,10.595,18.625,11.98,15.64,,15.079,15.425,16.15,17.478,13.529,689.985,
18657,D,57.23,material_7,material_5,6,6,3,12,9,18.035,10.511,18.18,17.146,10.405,18.604,10.557,19.115,17.435,12.734,17.146,17.569,14.587,13.622,653.066,
13756,C,127.84,material_7,material_8,5,8,7,6,2,17.334,8.998,,17.602,11.322,19.184,12.299,15.581,21.747,8.599,15.574,17.529,11.505,,,
1966,A,110.54,material_7,material_8,9,5,11,5,7,16.464,12.114,16.571,18.141,12.04,18.447,11.008,17.119,17.788,13.519,16.028,,12.058,13.007,652.466,
5864,B,77.99,material_5,material_5,8,8,3,9,7,18.379,12.32,16.566,16.98,12.327,19.506,9.669,15.67,18.786,,15.177,16.087,15.737,16.381,724.596,
19125,D,95.98,material_7,material_5,6,6,6,4,6,17.654,12.093,15.257,16.826,12.134,19.014,12.548,15.223,19.322,10.913,16.436,14.935,14.59,18.046,534.282,0.0
6495,B,167.74,material_5,material_5,8,8,2,11,7,17.666,13.488,16.833,18.862,11.995,18.675,13.561,,19.773,12.335,14.847,16.684,15.149,14.954,847.432,
0,A,80.1,material_7,material_8,9,5,7,8,4,18.04,12.518,15.748,19.292,11.739,20.155,10.672,15.859,17.594,15.193,15.029,,13.034,14.684,764.1,
1836,A,144.24,material_7,material_8,9,5,9,2,2,18.381,11.88,17.792,,12.57,19.178,10.653,,21.485,12.481,14.45,15.119,16.854,17.704,735.717,
1789,A,156.66,material_7,material_8,9,5,11,3,4,16.379,11.749,17.106,15.639,9.789,18.898,14.0,16.584,21.949,10.817,17.461,17.058,13.743,15.681,,
4238,A,82.12,material_7,material_8,9,5,0,0,11,18.486,10.061,16.744,15.028,10.646,20.093,11.418,17.978,20.683,12.161,14.483,17.989,13.207,17.065,641.836,
19720,D,111.28,material_7,material_5,6,6,4,17,5,17.476,11.966,16.11,17.31,11.567,19.049,11.472,17.795,19.895,13.311,15.908,15.86,12.946,18.776,603.824,
10957,C,96.46,material_7,material_8,5,8,8,7,5,16.38,13.096,17.929,16.927,11.544,20.174,9.603,16.017,19.868,,,14.107,15.31,17.126,769.96,
12462,C,85.62,material_7,material_8,5,8,6,12,9,19.754,10.642,15.811,17.726,11.204,19.202,,15.452,16.463,10.959,16.152,,15.414,15.115,632.28,
16752,D,168.07,material_7,material_5,6,6,5,9,8,17.325,12.471,16.533,19.02,11.478,18.688,9.981,17.01,19.545,11.271,15.677,17.779,15.781,16.42,761.727,0.0
14692,C,86.4,material_7,material_8,5,8,18,6,12,16.416,12.52,15.868,17.689,10.801,17.443,11.63,15.535,18.348,10.521,15.28,15.62,15.993,17.221,459.53,
4653,A,168.6,material_7,material_8,9,5,7,3,9,18.544,11.63,16.64,17.805,11.929,18.96,11.308,15.793,17.305,12.265,16.552,15.059,15.201,15.413,678.109,1.0
20415,D,181.27,material_7,material_5,6,6,7,12,6,16.802,10.591,17.113,17.309,12.238,19.721,10.092,18.879,16.984,8.366,14.762,13.248,,18.336,721.969,0.0
4659,A,64.43,material_7,material_8,9,5,5,4,4,17.174,14.409,18.033,17.349,10.578,18.94,10.553,14.742,17.61,13.449,16.157,15.27,15.947,18.257,754.73,
2576,A,246.53,material_7,material_8,9,5,11,5,2,16.847,13.087,15.832,16.909,11.561,18.155,10.274,16.621,21.18,12.231,17.13,17.591,14.782,15.353,555.713,0.0
12891,C,157.5,material_7,material_8,5,8,11,8,12,16.839,11.759,16.778,16.65,11.686,17.852,,16.227,19.186,9.374,16.14,14.021,13.527,17.635,578.797,
19997,D,187.83,material_7,material_5,6,6,10,8,4,18.026,11.151,18.697,17.909,12.893,17.593,14.062,17.502,19.209,11.056,,16.806,13.872,18.3,819.846,
4771,A,95.33,material_7,material_8,9,5,12,5,5,,10.354,17.084,17.598,11.317,20.374,10.447,16.067,21.366,11.264,14.944,18.416,14.067,16.322,773.427,
3518,A,167.08,material_7,material_8,9,5,11,2,6,18.589,11.96,18.043,16.426,12.682,19.01,12.152,14.273,20.421,12.239,16.169,14.311,14.017,15.875,752.15,
25921,E,110.95,material_7,material_6,6,9,9,7,5,18.635,11.924,17.872,17.317,10.459,17.722,13.751,14.82,20.701,12.602,14.252,16.43,14.913,19.173,697.701,
14706,C,96.71,material_7,material_8,5,8,5,10,5,16.158,11.202,16.956,16.732,11.377,,11.886,18.706,19.699,11.148,16.561,15.959,13.608,14.543,637.84,
8770,B,87.48,material_5,material_5,8,8,5,14,7,18.235,11.341,15.559,17.174,13.404,18.078,14.476,17.325,20.021,11.519,15.087,15.491,18.558,15.299,865.775,
15363,C,170.68,material_7,material_8,5,8,10,6,7,17.496,9.838,18.018,,12.432,19.905,11.815,17.118,14.662,11.313,13.145,16.214,13.534,13.508,885.833,
14824,C,,material_7,material_8,5,8,3,10,2,17.471,10.868,17.02,16.297,11.955,20.085,10.14,15.329,19.397,,16.276,14.351,14.189,16.307,745.722,0.0
23077,E,90.06,material_7,material_6,6,9,8,9,2,15.592,13.092,16.48,17.549,10.614,18.177,11.306,15.674,17.822,11.632,15.514,17.976,17.292,16.414,677.292,
3078,A,155.16,material_7,material_8,9,5,8,4,4,17.483,12.063,,16.345,11.077,18.379,10.829,17.104,22.963,13.357,15.639,12.757,14.535,,638.998,
5300,B,125.49,material_5,material_5,8,8,7,9,5,16.945,12.599,16.894,18.163,11.762,19.528,10.872,17.673,20.592,10.799,18.199,16.625,15.962,18.059,704.376,0.0
